,UserId,Gender,DateOfBirth,age
0,3837,2,2007-10-01 00:00:00.000,0.331838565
1,207,0,,0.179481363
2,3581,2,2008-03-01 00:00:00.000,0.303437967
3,6028,2,2008-01-01 00:00:00.000,0.30044843
4,1451,0,,0.179481363
5,6062,2,2008-01-01 00:00:00.000,0.30044843
6,4333,0,,0.179481363
7,2881,1,2007-10-01 00:00:00.000,0.331838565
8,3376,2,2008-02-01 00:00:00.000,0.301943199
9,4461,0,,0.179481363
10,1360,0,,0.179481363
11,2148,2,,0.179481363
12,2480,0,2007-12-01 00:00:00.000,0.334828102
13,252,0,,0.179481363
14,5130,2,2008-01-01 00:00:00.000,0.30044843
15,279,2,2008-06-01 00:00:00.000,0.307922272
16,3140,1,2007-10-01 00:00:00.000,0.331838565
17,4537,0,,0.179481363
18,1584,1,,0.179481363
19,5698,2,2008-02-01 00:00:00.000,0.301943199
20,3230,2,,0.179481363
21,1266,2,2007-12-01 00:00:00.000,0.334828102
22,5984,2,2008-06-01 00:00:00.000,0.307922272
23,5585,1,2008-01-01 00:00:00.000,0.30044843
24,6030,0,,0.179481363
25,3680,2,2008-08-01 00:00:00.000,0.310911809
26,2825,1,2007-11-01 00:00:00.000,0.333333333
27,4398,2,,0.179481363
28,2541,2,,0.179481363
29,1293,2,2008-04-01 00:00:00.000,0.304932735
30,2411,1,2007-09-01 00:00:00.000,0.330343797
31,2395,2,2008-07-01 00:00:00.000,0.30941704
32,4898,0,,0.179481363
33,4219,0,,0.179481363
34,5852,0,,0.179481363
35,4192,0,,0.179481363
36,3239,2,2008-01-01 00:00:00.000,0.30044843
37,992,0,,0.179481363
38,1816,2,,0.179481363
39,4715,0,,0.179481363
40,3241,1,2008-06-01 00:00:00.000,0.307922272
41,1796,1,2008-02-01 00:00:00.000,0.301943199
42,5523,0,,0.179481363
43,1292,2,2007-10-01 00:00:00.000,0.331838565
44,4618,2,2007-10-01 00:00:00.000,0.331838565
45,4388,2,2008-06-01 00:00:00.000,0.307922272
46,3,1,2008-05-01 00:00:00.000,0.306427504
47,709,0,,0.179481363
48,1386,2,2007-11-01 00:00:00.000,0.333333333
49,906,1,,0.179481363
50,2075,0,,0.179481363
51,5388,0,,0.179481363
52,1064,0,,0.179481363
53,3629,2,,0.179481363
54,2335,1,2008-06-01 00:00:00.000,0.307922272
55,1506,0,,0.179481363
56,267,0,,0.179481363
57,5843,2,,0.179481363
58,3663,1,2007-11-01 00:00:00.000,0.333333333
59,1777,1,2007-12-01 00:00:00.000,0.334828102
60,170,1,2008-05-01 00:00:00.000,0.306427504
61,6037,1,,0.179481363
62,2836,1,2008-08-01 00:00:00.000,0.310911809
63,2080,2,2007-09-01 00:00:00.000,0.330343797
64,2975,1,2007-12-01 00:00:00.000,0.334828102
65,5462,0,,0.179481363
66,1141,0,,0.179481363
67,4865,2,,0.179481363
68,5797,0,,0.179481363
69,3371,2,2008-04-01 00:00:00.000,0.304932735
70,1214,2,2007-09-01 00:00:00.000,0.330343797
71,2388,1,2008-01-01 00:00:00.000,0.30044843
72,2503,0,,0.179481363
73,4731,2,2008-08-01 00:00:00.000,0.310911809
74,1083,1,,0.179481363
75,2360,2,,0.179481363
76,3670,1,2007-12-01 00:00:00.000,0.334828102
77,5700,1,2008-01-01 00:00:00.000,0.30044843
78,3784,1,2008-08-01 00:00:00.000,0.310911809
79,3056,1,2008-06-01 00:00:00.000,0.307922272
80,211,2,2008-02-01 00:00:00.000,0.301943199
81,1005,0,,0.179481363
82,1396,0,,0.179481363
83,3679,2,2007-12-01 00:00:00.000,0.334828102
84,3104,0,,0.179481363
85,201,1,2008-02-01 00:00:00.000,0.301943199
86,5443,1,2008-04-01 00:00:00.000,0.304932735
87,3229,0,,0.179481363
88,5910,1,2007-11-01 00:00:00.000,0.333333333
89,2413,0,,0.179481363
90,5693,2,2008-05-01 00:00:00.000,0.306427504
91,4465,0,,0.179481363
92,569,2,,0.179481363
93,1876,2,2007-09-01 00:00:00.000,0.330343797
94,4186,0,,0.179481363
95,1658,1,2007-12-01 00:00:00.000,0.334828102
96,1177,2,2007-10-01 00:00:00.000,0.331838565
97,6015,2,2020-04-01 00:00:00.000,0.089686099
98,1280,2,2008-07-01 00:00:00.000,0.30941704
99,422,1,2008-01-01 00:00:00.000,0.30044843
100,3832,1,2008-05-01 00:00:00.000,0.306427504
101,5393,1,2008-06-01 00:00:00.000,0.307922272
102,5018,0,,0.179481363
103,974,1,,0.179481363
104,1133,2,2008-06-01 00:00:00.000,0.307922272
105,3427,1,2008-01-01 00:00:00.000,0.30044843
106,3739,2,,0.179481363
107,4892,0,,0.179481363
108,5061,1,,0.179481363
109,5876,1,,0.179481363
110,5235,0,,0.179481363
111,2233,2,2008-08-01 00:00:00.000,0.310911809
112,1469,1,2007-09-01 00:00:00.000,0.330343797
113,2950,0,,0.179481363
114,815,0,,0.179481363
115,4638,1,,0.179481363
116,1733,2,2008-08-01 00:00:00.000,0.310911809
117,2959,0,,0.179481363
118,1201,1,2008-03-01 00:00:00.000,0.303437967
119,1077,0,,0.179481363
120,3816,0,,0.179481363
121,3621,0,,0.179481363
122,4316,0,,0.179481363
123,5040,0,,0.179481363
124,483,2,,0.179481363
125,4586,1,2008-01-01 00:00:00.000,0.30044843
126,3921,1,,0.179481363
127,2020,0,,0.179481363
128,6048,0,,0.179481363
129,47,1,2008-04-01 00:00:00.000,0.304932735
130,5231,2,2008-06-01 00:00:00.000,0.307922272
131,1663,0,,0.179481363
132,5253,2,2008-07-01 00:00:00.000,0.30941704
